vonalId;sorszam;geoid
1;1;3054635
1;2;3054641
1;3;3054636
1;4;3054644
1;5;3043777
1;6;3055037
1;7;3051523
1;8;3055027
1;9;3044838
1;10;3044864
1;11;3056210
1;12;3052905
1;13;3042940
1;14;3043713
1;15;3044074
1;16;3056288
1;17;3044293
1;18;3049514
1;19;3056425
1;20;3047532
1;21;3051966
1;22;3051961
1;23;3056444
1;24;3046824
1;25;3047895
1;26;3048814
1;27;3051579
2;1;3054634
2;2;3045961
2;3;3054642
2;4;3043469
2;5;3055891
2;6;3047208
2;7;3045293
2;8;3046339
2;9;3049652
2;10;3046350
2;11;3046348
2;12;3048890
2;13;3053556
2;14;3053161
2;15;3053160
4;1;3053160
4;2;3053161
4;3;3043861
4;4;3044066
4;5;3047981
4;6;3047280
4;7;3053150
4;8;3049035
4;9;3046291
4;10;3045043
4;11;3047362
4;12;3053496
4;13;3056288
4;14;3044293
4;15;3049514
5;1;3044771
5;2;3047961
5;3;3047963
5;4;3053031
5;5;3054943
5;6;3054003
5;7;3047901
5;8;3045109
5;9;3055626
5;10;3050085
5;11;3055824
5;12;3044111
5;13;3047688
5;14;3054292
5;15;3044296
5;16;3049514
8;1;3051961
8;2;3051179
8;3;8410967
8;4;3053298
8;5;3049488
8;6;3055688
8;7;3053551
8;8;3053914
8;9;3053107
8;10;3046046
8;11;3044882
8;12;3042930
8;13;3050593
8;14;3042794
8;15;3052643
8;16;3046378
8;17;3052638
8;18;8410969
8;19;3046322
8;20;8410968
8;21;3052646
8;22;3055508
8;23;3045179
9;1;3052638
9;2;3052636
9;3;8410973
9;4;3052635
10;1;3051961
10;2;3051970
10;3;3048175
10;4;3051967
10;5;3052047
10;6;3052046
10;7;3052356
10;8;3043029
10;9;3046677
10;10;3048099
10;11;3048081
10;12;3042855
10;13;3049119
10;14;3054532
11;1;3051961
11;2;3051970
11;3;3047224
11;4;3053397
11;5;3046692
11;6;3045934
11;7;3044113
11;8;3052007
11;9;3055630
11;10;3042923
11;11;3055641
11;12;3055622
11;13;3042843
11;14;3046196
11;15;3042535
11;16;3053289
11;17;3042922
12;1;3052905
12;2;3049418
12;3;3046887
14;1;3046677
14;2;3051190
14;3;3047418
14;4;3048448
14;5;8426436
14;6;3044908
14;7;8426437
14;8;3053360
14;9;3046053
14;10;3053914
15;1;3045179
15;2;3048606
15;3;3049460
15;4;3047780
15;5;3046464
15;6;3043007
15;7;3045183
15;8;3048705
15;9;3047409
15;10;3043523
15;11;3043785
15;12;3054575
15;13;3052155
15;14;3056433
15;15;3045636
15;16;3044307
16;1;3045990
16;2;3055051
16;3;3051579
16;4;3047891
16;5;3050926
16;6;3051764
16;7;3051766
16;8;3054725
16;9;3053914
16;10;3044424
16;11;3044423
16;12;3048596
16;13;3046738
16;14;3042917
16;15;3055195
16;16;3053741
16;17;8425801
16;18;3045882
16;19;3043211
16;20;3043067
16;21;3051565
16;22;3046194
16;23;3047160
16;24;3046206
16;25;3042976
16;26;3044307
17;1;3044307
17;2;3052032
17;3;3045164
17;4;3044577
17;5;3046128
17;6;3043032
17;7;3046843
17;8;3046791
17;9;3051962
17;10;3053379
17;11;3042592
17;12;3042597
17;13;3056106
17;14;3047675
17;15;3042588
17;16;3046175
17;17;3052766
17;18;3050167
17;19;3052337
17;20;3048572
17;21;3043376
17;22;3047677
18;1;3044307
18;2;6694195
18;3;6694196
18;4;3052036
18;5;3048682
18;6;3049363
18;7;3049359
20;1;3044771
20;2;3045503
