geonameid;name;asciiname;latitude;longitude;feature code
713840;Zsujta Vasúti Megállóhely;Zsujta Vasuti Megallohely;48,5000;21,2667;RSTP
713904;Ziliz Vasúti Megállóhely;Ziliz Vasuti Megallohely;48,2500;20,7833;RSTP
713909;Zelemér Vasúti Megállóhely;Zelemer Vasuti Megallohely;47,6333;21,5833;RSTP
713930;Zagyvarékas Vasúti Megállóhely;Zagyvarekas Vasuti Megallohely;47,2500;20,1000;RSTP
714007;Viss Vasúti Megállóhely;Viss Vasuti Megallohely;48,2333;21,5167;RSTP
714011;Virányos Vasúti Megállóhely;Viranyos Vasuti Megallohely;48,0667;21,5167;RSTP
714035;Vilmaszállás Vasúti Megállóhely;Vilmaszallas Vasuti Megallohely;46,3667;20,0333;RSTP
714147;Végegyháza Vasúti Megállóhely;Vegegyhaza Vasuti Megallohely;46,3833;20,8833;RSTP
714148;Végegyháza Alsó Vasúti Megállóhely;Vegegyhaza Also Vasuti Megallohely;46,3667;20,8667;RSTP
714187;Vásárosnamény Külső Vasúti Megállóhely;Vasarosnameny Kulso Vasuti Megallohely;48,1000;22,3000;RSTP
714309;Vadna Vasúti Megállóhely;Vadna Vasuti Megallohely;48,2833;20,5500;RSTP
714338;Ürmöshát Vasúti Megállóhely;Urmoshat Vasuti Megallohely;47,2667;21,1000;RSTP
714347;Ürgehát Vasúti Megállóhely;Urgehat Vasuti Megallohely;47,1167;20,3667;RSTP
714361;Újváros Vasúti Megállóhely;Ujvaros Vasuti Megallohely;46,6500;20,5333;RSTP
714454;Újkenéz Vasúti Megállóhely;Ujkenez Vasuti Megallohely;48,2500;22,2167;RSTP
714511;Turgony Vasúti Megállóhely;Turgony Vasuti Megallohely;47,2167;20,6500;RSTP
714517;Tunyogmatolcs Alsó Vasúti Megállóhely;Tunyogmatolcs Also Vasuti Megallohely;47,9667;22,4667;RSTP
714618;Tompapuszta Vasúti Megállóhely;Tompapuszta Vasuti Megallohely;46,3167;20,9667;RSTP
714672;Tófalu Vasúti Megállóhely;Tofalu Vasuti Megallohely;47,7726;20,2320;RSTP
714683;Tisztavíz Vasúti Megállóhely;Tisztaviz Vasuti Megallohely;47,6500;21,8333;RSTP
714699;Tiszaug-Tiszahídfő Vasúti Megállóhely;Tiszaug-Tiszahidfo Vasuti Megallohely;46,8667;20,0500;RSTP
714735;Tiszanagyfalu Vasúti Megállóhely;Tiszanagyfalu Vasuti Megallohely;48,1000;21,5167;RSTP
714741;Tiszalöki Vízművek Vasúti Megállóhely;Tiszaloki Vizmuvek Vasuti Megallohely;48,0167;21,3000;RSTP
714759;Tiszajenő Alsó Vasúti Megállóhely;Tiszajeno Also Vasuti Megallohely;47,0333;20,1333;RSTP
714790;Tiszabezdéd Vasúti Megállóhely;Tiszabezded Vasuti Megallohely;48,3667;22,1500;RSTP
714850;Tenyőszállás Vasúti Megállóhely;Tenyoszallas Vasuti Megallohely;47,1500;20,3500;RSTP
714887;Telekföld Vasúti Megállóhely;Telekfold Vasuti Megallohely;47,6000;21,4167;RSTP
714918;Tedej Vasúti Megállóhely;Tedej Vasuti Megallohely;47,9000;21,4167;RSTP
714946;Tarnaszentmária Vasúti Megállóhely;Tarnaszentmaria Vasuti Megallohely;47,8833;20,2000;RSTP
714963;Tardosi Kőbányák Vasúti Megállóhely;Tardosi Kobanyak Vasuti Megallohely;48,0167;20,3333;RSTP
714978;Tápiómajor Vasúti Megállóhely;Tapiomajor Vasuti Megallohely;47,3306;20,0318;RSTP
714993;Tamásipuszta Vasúti Megállóhely;Tamasipuszta Vasuti Megallohely;47,6333;21,8000;RSTP
715004;Taktaszada Vasúti Megállóhely;Taktaszada Vasuti Megallohely;48,1167;21,1500;RSTP
715198;Szirmabesenyő Vasúti Megállóhely;Szirmabesenyo Vasuti Megallohely;48,1483;20,7827;RSTP
715216;Szilvásvárad-Szalajkavölgy Vasúti Megállóhely;Szilvasvarad-Szalajkavolgy Vasuti Megallohely;48,1000;20,3833;RSTP
715257;Szikszó-Vásártér Vasúti Megállóhely;Szikszo-Vasarter Vasuti Megallohely;48,1833;20,9333;RSTP
715271;Szihalom Vasúti Megállóhely;Szihalom Vasuti Megallohely;47,7667;20,5000;RSTP
715297;Szerep Vasúti Megállóhely;Szerep Vasuti Megallohely;47,2333;21,1833;RSTP
715309;Szepes Vasúti Megállóhely;Szepes Vasuti Megallohely;47,4500;21,6167;RSTP
715312;Szepeshalom Vasúti Megállóhely;Szepeshalom Vasuti Megallohely;47,4781;21,5990;RSTP
715326;Szentkozma Vasúti Megállóhely;Szentkozma Vasuti Megallohely;47,2333;21,4667;RSTP
715343;Szentannapuszta Vasúti Megállóhely;Szentannapuszta Vasuti Megallohely;47,5206;21,9657;RSTP
715354;Szendrő Felső Vasúti Megállóhely;Szendro Felso Vasuti Megallohely;48,4000;20,7167;RSTP
715370;Szellőhát Vasúti Megállóhely;Szellohat Vasuti Megallohely;47,4333;20,2000;RSTP
715417;Szegi Vasúti Megállóhely;Szegi Vasuti Megallohely;48,2167;21,4000;RSTP
715613;Szabadkígyós Alsó Vasúti Megállóhely;Szabadkigyos Also Vasuti Megallohely;46,6000;21,0667;RSTP
715674;Sóstó Vasúti Megállóhely;Sosto Vasuti Megallohely;48,0000;21,7333;RSTP
715706;Sóshalom Vasúti Megállóhely;Soshalom Vasuti Megallohely;46,4833;20,4833;RSTP
715762;Sirok Vasúti Megállóhely;Sirok Vasuti Megallohely;47,9167;20,1833;RSTP
715765;Sirató Vasúti Megállóhely;Sirato Vasuti Megallohely;46,8500;20,6167;RSTP
715840;Sáta Vasúti Megállóhely;Sata Vasuti Megallohely;48,1833;20,3833;RSTP
715863;Sárrétudvardi Vasúti Megállóhely;Sarretudvardi Vasuti Megallohely;47,2333;21,1833;RSTP
715887;Sarkadi-Cukorgyár Vasúti Megállóhely;Sarkadi-Cukorgyar Vasuti Megallohely;46,7167;21,3667;RSTP
715919;Sándoros Vasúti Megállóhely;Sandoros Vasuti Megallohely;47,3333;21,7167;RSTP
715940;Sajószöged Vasúti Megállóhely;Sajoszoged Vasuti Megallohely;47,9500;20,9833;RSTP
715944;Sajószentpéter Piactér Vasúti Megállóhely;Sajoszentpeter Piacter Vasuti Megallohely;48,2167;20,7333;RSTP
715946;Sajósenye Vasúti Megállóhely;Sajosenye Vasuti Megallohely;48,2167;20,8000;RSTP
715953;Sajónémeti Vasúti Megállóhely;Sajonemeti Vasuti Megallohely;48,2667;20,3667;RSTP
715955;Sajómercse Vasúti Megállóhely;Sajomercse Vasuti Megallohely;48,2667;20,4333;RSTP
715959;Sajókeresztúr Vasúti Megállóhely;Sajokeresztur Vasuti Megallohely;48,1667;20,7833;RSTP
716121;Remete Vasúti Megállóhely;Remete Vasuti Megallohely;46,6833;21,3000;RSTP
716134;Reje Vasúti Megállóhely;Reje Vasuti Megallohely;47,9833;21,2167;RSTP
716159;Rátka Vasúti Megállóhely;Ratka Vasuti Megallohely;48,2000;21,2333;RSTP
716190;Rákóczitanya Vasúti Megállóhely;Rakoczitanya Vasuti Megallohely;48,0167;22,1833;RSTP
716201;Rákhát Vasúti Megállóhely;Rakhat Vasuti Megallohely;47,5167;20,4500;RSTP
716253;Pusztatemplom Vasúti Megállóhely;Pusztatemplom Vasuti Megallohely;46,6833;20,4000;RSTP
716258;Pusztaszenttornya Vasúti Megállóhely;Pusztaszenttornya Vasuti Megallohely;46,6167;20,6833;RSTP
716261;Pusztaszakállas Vasúti Megállóhely;Pusztaszakallas Vasuti Megallohely;47,1833;20,5333;RSTP
716264;Pusztapó Vasúti Megállóhely;Pusztapo Vasuti Megallohely;47,1000;20,4500;RSTP
716269;Pusztakürt Vasúti Megállóhely;Pusztakurt Vasuti Megallohely;47,4167;20,1833;RSTP
716275;Pusztakettős Vasúti Megállóhely;Pusztakettos Vasuti Megallohely;47,4667;20,7500;RSTP
716289;Pusztadomaháza Vasúti Megállóhely;Pusztadomahaza Vasuti Megallohely;47,5833;20,7333;RSTP
716300;Püspökladány Vásártér Vasúti Megállóhely;Puspokladany Vasarter Vasuti Megallohely;47,3000;21,0833;RSTP
716365;Pogonyipuszta Vasúti Megállóhely;Pogonyipuszta Vasuti Megallohely;48,3000;20,3833;RSTP
716379;Pitvaros Vasúti Megállóhely;Pitvaros Vasuti Megallohely;46,3167;20,7667;RSTP
716384;Piroska Vasúti Megállóhely;Piroska Vasuti Megallohely;47,1500;20,1333;RSTP
716454;Perkupa Vasúti Megállóhely;Perkupa Vasuti Megallohely;48,4667;20,7000;RSTP
716477;Perényitanya Vasúti Megállóhely;Perenyitanya Vasuti Megallohely;48,0819;22,2505;RSTP
716523;Pátyod Vasúti Megállóhely;Patyod Vasuti Megallohely;47,8492;22,6129;RSTP
716670;Ózd Alsó Vasúti Megállóhely;Ozd Also Vasuti Megallohely;48,2348;20,3196;RSTP
716697;Őszeszék Vasúti Megállóhely;Oszeszek Vasuti Megallohely;46,3833;20,0167;RSTP
716716;Országút Vasúti Megállóhely;Orszagut Vasuti Megallohely;46,4833;21,2000;RSTP
716731;Orosháza-Üveggyár Vasúti Megállóhely;Oroshaza-Uveggyar Vasuti Megallohely;46,5500;20,6833;RSTP
716733;Orosháza Külső Vasúti Megállóhely;Oroshaza Kulso Vasuti Megallohely;46,5833;20,6333;RSTP
716734;Orosháza Felső Vasúti Megállóhely;Oroshaza Felso Vasuti Megallohely;46,5500;20,6833;RSTP
716735;Orosháza Alsó Vasúti Megállóhely;Oroshaza Also Vasuti Megallohely;46,5833;20,6833;RSTP
716792;Ópályi Vasúti Megállóhely;Opalyi Vasuti Megallohely;48,0000;22,3167;RSTP
716798;Ongaújfalu Vasúti Megállóhely;Ongaujfalu Vasuti Megallohely;48,1500;20,9167;RSTP
716801;Ondód Vasúti Megállóhely;Ondod Vasuti Megallohely;47,4833;21,5500;RSTP
716843;Ököritófülpös Vasúti Megállóhely;Okoritofulpos Vasuti Megallohely;47,9167;22,5000;RSTP
716868;Óbög Vasúti Megállóhely;Obog Vasuti Megallohely;46,9833;20,1167;RSTP
716875;Nyulas Vasúti Megállóhely;Nyulas Vasuti Megallohely;47,5667;21,6000;RSTP
716902;Nyírmihálydi Vasúti Megállóhely;Nyirmihalydi Vasuti Megallohely;47,7333;21,9833;RSTP
716904;Nyírmeggyes Vasúti Megállóhely;Nyirmeggyes Vasuti Megallohely;47,9333;22,2667;RSTP
716932;Nyíregyháza-Petőfi Tér Vasúti Megállóhely;Nyiregyhaza-Petofi Ter Vasuti Megallohely;47,9491;21,7038;RSTP
716938;Nyírcsászári Vasúti Megállóhely;Nyircsaszari Vasuti Megallohely;47,8667;22,1833;RSTP
716940;Nyírcsaholy Vasúti Megállóhely;Nyircsaholy Vasuti Megallohely;47,9000;22,3500;RSTP
717030;Nekézseny Vasúti Megállóhely;Nekezseny Vasuti Megallohely;48,1667;20,4333;RSTP
717041;Napkor Vasúti Megállóhely;Napkor Vasuti Megallohely;47,9500;21,8667;RSTP
717057;Nagyvisnyó-Dédes Vasúti Megállóhely;Nagyvisnyo-Dedes Vasuti Megallohely;48,1500;20,4333;RSTP
717160;Nagyrét Vasúti Megállóhely;Nagyret Vasuti Megallohely;46,7833;20,7000;RSTP
717222;Nagymajor Vasúti Megállóhely;Nagymajor Vasuti Megallohely;47,6500;20,9833;RSTP
717243;Nagylaki Kendergyár Vasúti Megállóhely;Nagylaki Kendergyar Vasuti Megallohely;46,1833;20,7167;RSTP
717332;Nagyhalom Vasúti Megállóhely;Nagyhalom Vasuti Megallohely;47,5333;20,0667;RSTP
717377;Nagyér Vasúti Megállóhely;Nagyer Vasuti Megallohely;46,3667;20,7500;RSTP
717411;Nagycsécs Vasúti Megállóhely;Nagycsecs Vasuti Megallohely;47,9667;20,9500;RSTP
717586;Mirhó Vasúti Megállóhely;Mirho Vasuti Megallohely;47,1667;20,9667;RSTP
717614;Mikepércs Vasúti Megállóhely;Mikepercs Vasuti Megallohely;47,4333;21,6167;RSTP
717651;Mezőkövesd Felső Vasúti Megállóhely;Mezokovesd Felso Vasuti Megallohely;47,8000;20,5833;RSTP
717655;Mezőkovácsháza Felső Vasúti Megállóhely;Mezokovacshaza Felso Vasuti Megallohely;46,4167;20,9167;RSTP
717698;Méra Vasúti Megállóhely;Mera Vasuti Megallohely;48,3667;21,1333;RSTP
717719;Méhkerék Vasúti Megállóhely;Mehkerek Vasuti Megallohely;46,7833;21,4667;RSTP
717831;Márialaka Vasúti Megállóhely;Marialaka Vasuti Megallohely;47,1833;20,8500;RSTP
718044;Lórántháza Vasúti Megállóhely;Loranthaza Vasuti Megallohely;48,0099;22,0853;RSTP
718106;Levelek-Magy Vasúti Megállóhely;Levelek-Magy Vasuti Megallohely;47,9500;21,9833;RSTP
718172;Látókép Vasúti Megállóhely;Latokep Vasuti Megallohely;47,5667;21,5000;RSTP
718213;Lapistó Vasúti Megállóhely;Lapisto Vasuti Megallohely;46,6667;20,3333;RSTP
718311;Kunszentmárton-Érpart Vasúti Megállóhely;Kunszentmarton-Erpart Vasuti Megallohely;46,8333;20,3000;RSTP
